Job_Titles,Company_Names,Salary,Job_Location,Job_Link,Joblist_Date
Business Intelligence Analyst,"GE Appliances, a Haier company",None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/kreditbee-lead-data-analyst-sql-python-at-kreditbee-3713421845?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=4q7UKOAigXtNfOA9O0%2BY6Q%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,4 weeks ago
KreditBee - Lead Data Analyst - SQL/Python,KreditBee,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-associate-at-swiggy-3737520905?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=DQQ0MhtjbOorGZpuSVEpBg%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,1 month ago
Business Associate,Swiggy,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-%E2%80%93-service-now-at-generis-tek-inc-3720204536?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=R658mGoL8BywDjsVTqigOg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,1 day ago
Data Analyst – Service Now,Generis Tek Inc,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-senior-lead-at-fedex-3756996571?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=kQ9RkwQw%2Fp1mv0M5rsiK7A%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,1 day ago
Data Analyst - Senior/Lead,FedEx,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/product-analyst-at-jar-3728410696?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=T%2BSdZ%2F4xe8Pr0YXynxmm8A%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,2 weeks ago
Product Analyst,Jar,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-acme-services-3724222511?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=UprdjCXz0chGkW7aQv0KHg%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,1 month ago
Data Analyst,Acme Services,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-deque-systems-inc-3709807926?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=A8LU9AiFsuB1Up%2F1FXRQoA%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Analyst,"Deque Systems, Inc",None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analytics-manager-at-alp-consulting-ltd-3729074580?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=W75r9EZsE0jD1aoxtTiYVg%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card,1 month ago
Data Analytics Manager,Alp Consulting Ltd.,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-radix-3707208756?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=k%2B%2BNCUmQA5R6KKFef8gxLw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago
Data Analyst,Radix,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-innovations-group-uae-3752427930?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=TjoISs0fk%2F%2B2kl5JL5HhRQ%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card,2 months ago
